"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55234","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Wed Oct 08 04:26:22 UTC 2025","failed","Wed Oct 08 04:27:17 UTC 2025","","","",""
"","55296","Verify Results in Moisture worksheet","Moisture - Profile","Wed Oct 08 04:30:58 UTC 2025","failed","Wed Oct 08 04:31:53 UTC 2025","","","",""
"","55251","Order Creation For Test Customer","Terpenes - Profile","Wed Oct 08 04:03:17 UTC 2025","failed","Wed Oct 08 04:04:12 UTC 2025","","","",""
"","55257","Order Creation For Test Customer","Moisture - Profile","Wed Oct 08 04:23:36 UTC 2025","failed","Wed Oct 08 04:24:31 UTC 2025","","","",""
"","55245","Import Results for Terpenes worksheet","Terpenes - Profile","Wed Oct 08 04:10:39 UTC 2025","failed","Wed Oct 08 04:11:34 UTC 2025","","","",""
"","55262","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Wed Oct 08 04:18:03 UTC 2025","failed","Wed Oct 08 04:18:58 UTC 2025","","","",""
"","55266","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Oct 08 03:54:58 UTC 2025","failed","Wed Oct 08 03:55:53 UTC 2025","","","",""
"","55235","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Wed Oct 08 04:16:12 UTC 2025","failed","Wed Oct 08 04:17:08 UTC 2025","","","",""
"","55247","Start Preparation for Terpenes worksheet","Terpenes - Profile","Wed Oct 08 04:09:44 UTC 2025","failed","Wed Oct 08 04:10:39 UTC 2025","","","",""
"","55225","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Wed Oct 08 03:54:03 UTC 2025","failed","Wed Oct 08 03:54:58 UTC 2025","","","",""
"","55279","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Wed Oct 08 04:19:53 UTC 2025","failed","Wed Oct 08 04:20:49 UTC 2025","","","",""
"","55311","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Wed Oct 08 04:06:03 UTC 2025","failed","Wed Oct 08 04:06:58 UTC 2025","","","",""
"","55290","Start Preparation for Moisture worksheet","Moisture - Profile","Wed Oct 08 04:29:07 UTC 2025","failed","Wed Oct 08 04:30:03 UTC 2025","","","",""
"","55264","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Wed Oct 08 04:15:17 UTC 2025","failed","Wed Oct 08 04:16:12 UTC 2025","","","",""
"","55269","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Wed Oct 08 03:59:34 UTC 2025","failed","Wed Oct 08 04:00:29 UTC 2025","","","",""
"","55245","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Wed Oct 08 04:17:08 UTC 2025","failed","Wed Oct 08 04:18:03 UTC 2025","","","",""
"","55263","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Wed Oct 08 04:01:25 UTC 2025","failed","Wed Oct 08 04:02:20 UTC 2025","","","",""
"","55247","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Wed Oct 08 03:58:39 UTC 2025","failed","Wed Oct 08 03:59:34 UTC 2025","","","",""
"","55298","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Wed Oct 08 03:57:44 UTC 2025","failed","Wed Oct 08 03:58:39 UTC 2025","","","",""
"","55280","Set up materials for Terpenes worksheet","Terpenes - Profile","Wed Oct 08 04:07:53 UTC 2025","failed","Wed Oct 08 04:08:49 UTC 2025","","","",""
"","55270","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Wed Oct 08 04:14:22 UTC 2025","failed","Wed Oct 08 04:15:17 UTC 2025","","","",""
"","55261","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Wed Oct 08 03:56:48 UTC 2025","failed","Wed Oct 08 03:57:44 UTC 2025","","","",""
"","55404","Order Creation For Test Customer","Cannabinoids - Profile","Wed Oct 08 03:53:07 UTC 2025","failed","Wed Oct 08 03:54:03 UTC 2025","","","",""
"","55232","Set Up Worksheet For Moisture Sample","Moisture - Profile","Wed Oct 08 04:27:17 UTC 2025","failed","Wed Oct 08 04:28:12 UTC 2025","","","",""
"","55232","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Wed Oct 08 04:05:08 UTC 2025","failed","Wed Oct 08 04:06:03 UTC 2025","","","",""
"","55284","Publish Cannabinoids results","Cannabinoids - Profile","Wed Oct 08 04:02:20 UTC 2025","failed","Wed Oct 08 04:03:15 UTC 2025","","","",""
"","55267","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Wed Oct 08 04:20:49 UTC 2025","failed","Wed Oct 08 04:21:44 UTC 2025","","","",""
"","55226","Publish Terpenes results","Terpenes - Profile","Wed Oct 08 04:12:30 UTC 2025","failed","Wed Oct 08 04:13:25 UTC 2025","","","",""
"","55266","Set up instruments for Terpenes worksheet","Terpenes - Profile","Wed Oct 08 04:08:49 UTC 2025","failed","Wed Oct 08 04:09:44 UTC 2025","","","",""
"","55225","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Wed Oct 08 04:25:26 UTC 2025","failed","Wed Oct 08 04:26:22 UTC 2025","","","",""
"","55258","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Wed Oct 08 04:06:58 UTC 2025","failed","Wed Oct 08 04:07:53 UTC 2025","","","",""
"","55242","Publish Residual Solvents results","Residual Solvents - Profile","Wed Oct 08 04:22:39 UTC 2025","failed","Wed Oct 08 04:23:34 UTC 2025","","","",""
"","55269","Verify Results in Terpenes worksheet","Terpenes - Profile","Wed Oct 08 04:11:34 UTC 2025","failed","Wed Oct 08 04:12:30 UTC 2025","","","",""
"","55282","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Wed Oct 08 04:21:44 UTC 2025","failed","Wed Oct 08 04:22:39 UTC 2025","","","",""
"","55281","Sample Creation For Terpenes Profile","Terpenes - Profile","Wed Oct 08 04:04:12 UTC 2025","failed","Wed Oct 08 04:05:08 UTC 2025","","","",""
"","55284","Import Results for Moisture worksheet","Moisture - Profile","Wed Oct 08 04:30:03 UTC 2025","failed","Wed Oct 08 04:30:58 UTC 2025","","","",""
"","55292","Order Creation For Test Customer","Residual Solvents - Profile","Wed Oct 08 04:13:26 UTC 2025","failed","Wed Oct 08 04:14:22 UTC 2025","","","",""
"","55274","Set up instruments for Moisture worksheet","Moisture - Profile","Wed Oct 08 04:28:12 UTC 2025","failed","Wed Oct 08 04:29:07 UTC 2025","","","",""
"","55275","Sample Creation For Moisture Profile","Moisture - Profile","Wed Oct 08 04:24:31 UTC 2025","failed","Wed Oct 08 04:25:26 UTC 2025","","","",""
"","55264","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Wed Oct 08 04:00:29 UTC 2025","failed","Wed Oct 08 04:01:25 UTC 2025","","","",""
"","55269","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Oct 08 03:55:53 UTC 2025","failed","Wed Oct 08 03:56:48 UTC 2025","","","",""
"","55249","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Wed Oct 08 04:18:58 UTC 2025","failed","Wed Oct 08 04:19:53 UTC 2025","","","",""
"","55260","Publish Moisture results","Moisture - Profile","Wed Oct 08 04:31:53 UTC 2025","failed","Wed Oct 08 04:32:48 UTC 2025","","","",""
